,Job Title,Company Name: ,Location,Country,Employment Type,Experience Needed,Description,Requirments
24,Production Engineer - Rodniture Furniture,Metal & Steel Innovation,Cairo, Egypt,['Full Time'],Experienced,"['The applicant must have meaningful experience in furniture design/engineering, high attention to detail, and strong leadership and communication skills. Sketching/drafting skills and CAD proficiency are a plus', 'Preference is given to candidates with business/entrepreneurial experience', 'Review order acknowledgments and monitor production progress; report to sales reps in weekly PM meetings', 'Review technical drawings for accuracy and get factory and client’s approval of designs', 'Oversee site measurements and installation of custom furniture as needed', 'Conduct physical inspections of factories and furniture whenever possible', 'Coordinate freight forwarders, warehouses, and local delivery companies to ensure orders are handled properly and delivered on time', 'Coordinate service providers to correct mistakes/damages as quickly as possible', 'Process claims/chargebacks against vendors as appropriate', 'Initiate programs and operate CNC for best quality output', 'Read and interpret plans, sketches, and shop drawings', 'Work with designers and management to achieve customer satisfaction', 'Maintain a high level of production while maintaining quality', 'Responding to quick turn-around orders', 'Manage the overall daily production activities including (production planning, scheduling, quality assurance, budgeting, etc', 'Assess projects and resources requirements and demands']","['Bachelor degree from a reputable university', 'Experience in Furniture Production is a Must', 'Excellent computer skills', 'Minimum 2-4 years of experience in furniture manufacturing plants', 'Good communication skills', 'Able to work under pressure', 'At least 2 years of work experience in operating CNC machines', 'Ability to work under limited supervision using standard practices', 'Experience in Quality Control']"
25,Data Labeler,Micro Engineering,"Heliopolis, Cairo", Egypt,"['Full Time', 'Shift Based']",Entry Level,"['Label machine learning data from clients', 'Complete tasks in a timely manner, meeting SLA deadlines', 'Do post-process audits and write error reports on data and tasks', 'Work in-sync with Team Leads to meet weekly goals']","['Detail oriented and can follow complex instructions', 'Ability to work full-time hours (8-hour workdays', 'Ability to work independently, cooperatively, and collaboratively as a team member', 'Possession of good communication and English language skills', 'Strong sense of ownership, urgency, and drive', 'Ability to handle ambiguity and changing priorities']"
26,Sales Engineer,IBIS SUPPLIES,"New Cairo, Cairo", Egypt,['Full Time'],Experienced,"['Creating new accounts of customers, maintain and develop', 'Achieving ethically and professionally the targets and hit rate of pipeline', 'Seeking for available opportunities to expand the pipeline, and deep follow up for increasing hit rate and meet the budget']","['Preferred Airports equipment’s and systems experience', 'High sales skills and negotiation, High ability for learning, customer oriented', 'Joining in implementing market intelligence for the scope of the company', 'Close follow up for the market situation and changes', 'Presentable, smart, active, good command in English language']"
27,Artificial Intelligence (AI) Engineer,Confidential,Riyadh, Saudi Arabia,['Full Time'],Experienced,"['Develops required machine learning models or prototype applications, applying formulated AI recipes and verifying the problem/solution fit', 'Understands the challenges in medical imaging and using state of the art solutions in AI and DL', 'Participates in building new experiences, improves existing products, ensures quality assurance test designs and contributes to test systems architecture discussions', 'Works alongside leading innovators in the field of deep learning and health care, plays a critical role in algorithm development', 'Analyzes and evaluates data and builds deep networks to detect or predict features, while effectively balancing quality, availability, timeliness and cost factors']","['BA/BS degree in computer science or related discipline is required, MS degree is preferred', 'Good command of the English language required (spoken and written']"
28,Senior Python / Django Developer,RDI,"Dokki, Giza", Egypt,['Full Time'],Experienced,"['Participating in architectural, design and product discussions', 'Working closely with UX and Front-end Developers', 'Develop cloud-based Python Django software products', 'Designing and creating RESTful APIs for internal and partner consumption', 'Writing reusable, testable, and efficient code']","['years of on-the-job software engineering experience', 'Solid database skills in a relational database (i.e. PostgresSQL, MySQL, etc', 'Knowledge of how to build and use RESTful APIs', 'Experience with modern JavaScript frameworks such as React', 'Proficiency using industry standard 3rd party tools such as Docker', 'Strong knowledge of version control (git', 'Experience deploying Python applications into production', 'Understanding of the threading limitations of Python, and multi-process architecture', 'Knowledge of user authentication and authorization between multiple systems, servers, and environments', 'Strong unit test and debugging skills', 'Google Cloud Platform (GCP) knowledge is a plus', 'Experience working in Linux environments and basic shell is a plus']"
29,Business Analyst,Streams,"Dokki, Giza", Egypt,['Full Time'],Experienced,"['Prepares detailed analysis documents with defined and appropriate techniques for functional and non-functional requirements', 'Develops innovative solutions for customers’ requirements and participates in the lifecycle development process of product definition through design, development, test, release, and maintenance', 'Works with the technology and business groups to define project specifications', 'Develops tools and frameworks and enhances the efficiency of the development, test, and release processes', 'Supports developers and QC engineers by clarifying requirements or business concerns generated anytime within the lifecycle development process', 'Communicates effectively with product owners’ insights and supports cross-functional team members and management', 'Delivers daily status reports to the department manager', 'Collaborates and communicates proactively with clients and internal teams to analyze functional requirements and the appropriate project scope according to business needs', 'Translates complex business, functional and technical requirements into detailed work tasks and prepares project scope statements', 'Develops requirement specifications according to standard templates', 'Reviews the documents with the direct manager and the technical team, before finalizing and versioning it']","['Bachelor’s Degree in Computer Science', 'years of proven experience', 'Knowledge of software technology, computer programming experience, and broad business knowledge', 'Proficient in Microsoft Office programs (Access, Excel, Project, PowerPoint, etc.) and Software Design Tools', 'Ability to elicit and document functional requirements, write specifications, use cases, and design user interface requirements for applications', 'Positive attitude even under high pressure and stressful situations', 'Strong problem solving and analytical skills', 'Advanced organization skills to manage teams, resources, processes, and time to achieve a target result within the stipulated timeframe', 'Strong oral and written communication skills', 'Knowledge of machine learning / AI is a plus']"
30,Microsoft CRM Developer,Perfect Presentation,"th of October, Giza", Egypt,['Full Time'],Experienced,"['Writing and documenting the technical specifications and requirements for the planned work from the application consultant', 'Create and maintain a scheme to support system requirements and adherence to Al Majed for Oud standards, policies, and procedures', 'Develop software and identify and resolve website errors on Microsoft Dynamics to improve user experience · Building plans for integrating Dynamics with systems and external resources using SOAP, XML, and REST APIs along with various integration patterns', 'Configure and customize Microsoft Dynamics 365 applications using native and custom forms, entities, plug-ins (JavaScript, C#), Microsoft Flows, X++, .NET, PowerBI, PowerApps, Azure IoT Suite, AppSource, third-party applications, and Azure Machine Learning, SSRS Reports', 'Design technical solutions that support the exchange of channels that serve as the basis for the introduction of routed data throughout the application', 'Ensure that all solutions are lightweight scalable, completely secure and designed with an appropriate level of quality', 'Plan and implement system developments, and provide updates on a regular basis to internal and external clients', 'Follow all relevant policies, processes, standard operating procedures and instructions and ensure work is carried out in a controlled and consistent manner', 'Contribute to the identification of opportunities for continuous improvement of systems, processes and practices, taking into account leading practices, improvement of business processes, cost reduction and productivity improvement', 'Promote the implementation and adherence to relevant policies, processes and operating procedures to others']","['Minimum of 3 years of experience in systems administration and development', 'Knowledge of managing and configuring Microsoft Dynamics systems', ""Bachelor's degree or diploma in Computer Science, Computer Engineering or similar field""]"
31,Junior Innovation Hub Engineer,Nile University,"th of October, Giza", Egypt,['Full Time'],Entry Level,"['Assist lab visitors with technical support', 'Provide lab visitors with required materials and tools', 'Organize the use of lab facility', 'Maintain lab machines regularly', 'Assist researchers with their experimental work', 'Plan the lab’s future needs and requirements', 'Cooperate with industry partners who develop prototypes using lab facilities', 'Organize Competitions for undergraduates that promotes their technical knowledge', 'Supports the university’s startups through prototyping and logistics', 'Assist in ongoing project’s in the University’s Campus', 'Develop documents that is for communication with other departments', 'Participate in the moderation of the innovation hub Facebook page', 'Proactively joins ongoing research projects']","['Bachelors degree in Electronics, Communication, Mechatronics, or Industrial Engineering', 'Basic Solid-works knowledge', 'Basic PCB design and fabrication knowledge', 'D printing experience is a plus', 'Highly familiar with Microsoft office apps', 'Very good written English', 'Self-motivated', 'Proactive', 'Open to learn new skills', 'Adaptive to different tasks and ready to deal with different technologies']"
32,Computer Vision Engineer,Edentech,Cairo, Egypt,['Full Time'],Experienced,"['Maintain our computer vision libraries', 'Explore and analyze video and images through image processing', 'Implement various segmentation techniques', 'Research, develop, evaluate and optimize various computer vision and deep learning models for \xa0 \xa0different problems', 'Communicate with other teams to gather requirements', 'Create unit tests, documentation, and examples for the maintained libraries']","[""Bachelor's degree in the areas of Computer Science/Computer Engineering, Engineering or any other related fields""]"
33,Senior Data Engineer,Edentech,Cairo, Egypt,['Full Time'],Experienced,"['We address Data at Eden tech as a top priority for driving success into various functions adapting our heterogenous datasets to formulate data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full data infrastructure developing, maintaining, and testing for data generation. Data Engineer has a deep expertise in building large-scale data processing systems by using the latest database and data processing technologies', 'We are looking for a savvy Data Engineer to join our growing team of analytics experts. Excited to be responsible for building and expanding our data pipeline architecture, as well as optimizing data flow and collection for cross functional teams', 'The ideal candidate enjoys optimizing data systems and building them from the ground up', 'The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. striving for operational excellence along with igniting innovative ideas hidden in large data sets and working with stakeholders to improve business outcomes']","['Results-oriented, determined and having a self-driven attitude', 'Deep Understanding of CS (Data Structure , Algorithms , Data Sterilization , Discreate Mathematics , CLI , Shell Scripting , networking, and corn jobs', 'Proven Experience in programming languages like (Java , Python , Scala', 'Deep Understanding Concurrent Distributed systems (Times, Clocks ,Ordering of events , Broadcasting and Replication', 'Deep understanding of relational and non-relational databases', 'Deep understanding Data warehouse', 'Concepts (Data Modeling, OLAP, OLTP , Denormalization ,Different Schemas', 'Engines like Snowflake , Hive , Impala , Google Big Query , Amazon Redshift', 'Deep understanding Data Lakes (Delta Lake , Databricks , Amazon Athena , Azure data lake', 'Deep understanding of Data Processing Engines (PIG , Spark , Flink , NIFI , Kafka , Storm', 'Workflow Managing systems (Airflow , Luigi , Google Composer', 'Basics understanding and implementing Machine Learning (TensorFlow, Spark MiLB', 'Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets. In both batch and real-time data integration', 'Working knowledge of stream processing, and highly scalable ‘big data’ data stores and messaging systems (Rabbit MQ , Pub Sub , Amazon SNS', 'Excellent communication skills, both verbally and in writing, to be able to align with various stakeholders and cross border squads', 'Understanding data privacy and security (data governance, key management, encryption', 'Understanding Cluster Computing (AWS , Azure, GCP) is preferred', 'Understand software testing (Unit Testing , Functional testing , Integration testing) is preferred', 'Understanding identity and access management (active directory) is preferred']"
34,Product Manager,Fab-Minds,"Sheraton, Cairo", Egypt,['Full Time'],Experienced,"['Build and own a vision, strategy and multi quarter road map', 'Break the vision into epics and stories, prioritize and own the backlog of the dedicated team', 'Managing and prioritizing the product backlog', 'Study the market and the competition to be able to successfully identify growth areas and channels', 'Define the product user experience scenarios, identify risks and provide the appropriate solutions', 'Create different and numerous revenue streams', 'Create concrete plans with risk mitigation, deliverables & milestones', 'Work with the executive team to successfully raise a series A funding in 6 to 9 months', 'Coordinate and work closely with the engineering & AI team to successfully migrate and integrate new features with the mob app', 'Participate in the formulation of and follow-up on the training of junior and senior software engineers', 'Participate in the recruitment of key software engineering personnel in the company', 'Collaborate with system architects, business analysts and other stakeholders to design, develop, and maintain high-quality and user-friendly products', 'Participate in the deployment plans of validated codes on different system platforms', 'Provide near-accurate estimates for software development activities and ensure its suitability to strategic objectives of the product releases', 'Interface with other teams and stakeholders to align the requirements with software plans', 'Provide high-quality reports for senior engineers on both the work progress and development plans']","['Bachelor’s degree in Computer Science or other related majors', 'years of experience in Mobile Apps product management', 'Experience in mobile-app development for cross-platform deployment', 'Strong UX/UI experience', 'Experience in user engagement', 'Experience with IOT', 'Experience in machine learning, computer vision, and AI is a plus', 'Familiarity of different software development processes such as agile development', 'Ability to multi-task and follow-up with tight project schedules', 'Internally motivated and possess the ability to motivate teams to achieve high altitudes', 'Excellent interpersonal and leadership skills to interact and lead junior engineers', 'Excellent written & spoken communication skills in English']"
35,Senior Python Developer,FlairsTech,"Maadi, Cairo", Egypt,['Full Time'],Experienced,"['Software Developers with Python development and/or Networking Knowledge working on a support/maintenance type of environment', 'Solid understanding of fundamental design patterns and principles required for building scalable applications composed of reusable componentry', 'Key understanding of industry best practices with regard to the implementation of software security and data protection principles', 'Experience with user authentication and authorization between multiple systems, servers, and environments', 'Strong familiarity with SQL, relational DB schema design, and optimization to appropriately represent and support requisite business processes', 'Integration with data storage solutions includes relational databases, key-value stores, and a variety of AWS-based services', 'Significant experience and comfort with, at least, one Python web framework with a preference towards Django. Flask, Falcon, and other Python web framework experience are also highly valued', 'Proficient experience with building Test-Driven Development', 'Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS', 'Strong understanding of code versioning tools specifically Git and using Git Flow', 'Fundamental experience using Python in the context of machine learning or artificial intelligence (AI) systems']","['Bachelors degree in Software Engineering or Mathematics related discipline, with GPA of 3.0 or higher (or the equivalent', 'Strong experience with the design and implementation of low-latency, high-availability, and performant applications', 'or more years of experience Developing Software Applications within a small to the medium-sized team using primarily Python']"
36,Senior Full Stack Instructor (PHP - Python,Confidential,Cairo, Egypt,['Full Time'],Experienced,"['Supervise, educate\xa0and support students to help them accomplish learning benchmarks', ""Consistently meets the department's KPI"", 'Communicates effectively, both verbally and written, with management, team members, and other departments', 'Anticipates and resolves common problems', 'Balances long and short-term goals by prioritizing activities', 'Reviews training curriculum and actively participates in curriculum planning sessions for new product training', 'Recommends and implements solutions when department issues arise', 'Assign schedules for part time and full-time technical instructors and manage their budgets', 'Daily track team technical performance by updating and reviewing timesheets', 'Continuously developing technical training courses based on the market need', 'Work with the talent acquisition team to hire qualified technical instructors', 'Train new technical staff', 'Understand AMIT’s policies and rules and apply them\xa0on instructors and students', 'Create new ways to increase customer satisfaction', 'Daily track customer feedback, requests and work on achieving SLA', 'Increase technical knowledge for the sales team and prepare technical proposals', 'Work with the marketing department to determine product-market fit and maximize marketing efficiency', 'Work to succeed in any software development projects or outsourcing deals', 'Continuously get technical feedback (oral, onsite) from all AMIT branches inside and outside Cairo']","['University degree in Computer Science, Software Engineering, or similar', 'years of experience', 'Strong knowledge with HTML5, CSS3, Bootstrap, JavaScript, React.js', 'Strong software development knowledge of Python and\xa0PHP', 'Strong Knowledge with SQL data base design', 'EXPERT in building APIs using Django REST', 'Good Knowledge with Versioning (GIT', 'Deployment (knowledgeable with hosting services preferably on Linux machines', 'Strong knowledge of MVVM', 'The VUE framework is a must', 'V.Good knowledge of relational databases', 'Excellent knowledge of Design Patterns and OOP basics', 'Laravel framework is a must', 'Very good English', 'Presentable', 'Excellent Communication Skills']"
37,Application Support Engineer -Technical Support,eBSEG,"Maadi, Cairo", Egypt,['Full Time'],Experienced,"['You will be responsible for providing application deployment and remote and/or onsite technical support for clients who have critical response time requirements for their business systems', 'You will work independently and as part of a team to urgently analyze technical issues, troubleshoot over the Email/Phone or via remote access or on site, and escalate problems when appropriate', 'Provide 1st & eventually 2nd level (after good training on company products) support for production issues across multiple applications, including problem identification, definition and implementation of short-term work around and coordination of long term software solution with business analysis and development team', 'Setup, configure and maintain monitoring for the deployed systemsMaintain the company knowledge base related to deployment of new applications and resolutions for known issues', 'Write administration/installation and configuration and other guides for the applications and train client staff on delivered systems', 'Install and configure clients’ environments on request - onsite or offsite (In Egypt and Outside Egypt', 'Perform advances investigation of issues including source code investigation and network troubleshooting', 'Review Security Penetration Points of developed/delivered Systems', 'Review Deployment against best practice check lists', 'Monitor trouble management system to ensure all reported production issues are addressed according to published service level agreement', 'Diagnose and resolve day-to-day live system issues in timely manner based on their severity.Clear understanding of software development life-cycle methodologies and documentation standards', 'Maintain ongoing communication with end-users, business analysts, QA team, and development team on reported issues', 'Coordinate, Review and respond to system audit alerts in a timely manner', 'Ability to write, modify, and execute SQL queries for SQL Server', ""Configuration of local machines to clone client's production environment for troubleshooting reported issues"", 'Effectively record and monitor progress of all issues raised, providing feedback to the business users as required', 'Liaise with other support/development teams to resolve cross system issues', 'Maintain application support documentation', 'Test configuration changes in a test environment prior to pushing into production', 'Design and support application reports', 'Maintain confidentiality with regard to the information being processed, stored or accessed', 'Perform Stress Testing on Web Applications', 'Provide evening and weekend support in response to needs of the applications being supported if necessary', 'Read and recognize the function of SQL queries to perform troubleshooting related to application changes and releases']","['University degree in Software/Computer Engineering, Computer Sciences, or related field', 'Minimum of 2 years’ experience in a software Industry with minimum 1 year in a support role', 'Experience in supporting and maintaining applications on web and database platforms', 'Solid working knowledge and building queries in SQL 2008+ databases is a must', 'Fluent English is a MUST', 'Solid experience in writing and performing T-SQL queries, joins, updates, etc', 'Ability to read and understand job-related materials such as instructions, specifications, references and manuals', 'Ability to work with demanding users in a fast paced environment', 'Excellent organizational, analytical, as well as oral and written communication skills', 'Excellent interpersonal and communication skills (oral and written', 'Proven documentation skills with consistent accuracy of details', 'Strong understanding of change control processes, time management, multi-tasking and attention to detail', 'Strong knowledge of Network and HTTP concepts', 'Ability to investigate, analyze information and to draw conclusions in order to troubleshoot issues', 'Experience in supporting a 24 x 7 hour environment', 'Ability to learn and support new applications', 'Ability to work independently or as part of a team', 'Possibly to Travel for periods around 3 months or more']"
38,Scrum Master,RDI,"Dokki, Giza", Egypt,['Full Time'],Experienced,"['Guides teams to a culture of focus, improving the organization of their work through sprint planning and reviews throughout a project life cycle', 'Guides departments and teams towards cross-functional orientation by providing essential Agile coaching, helping plan and coordinate new workflows and patterns, and scheduling task assignments and goals', 'Guides scrum teams to follow Agile/Scrum principles and practices and reinforce SAFe framework', 'Ensures scrum teams are using best practice agile delivery tools and templates for all processes including documenting and tracking user stories', 'Maintains the scrum team capacity plan, scrum board, sprint backlog, velocity charts and burn down charts', 'Continually monitors the progress of team members across departments and provides support to engage employees to achieve goals', 'Manages risks and issues proactively, including resources, costs, and systems, and recommending appropriate solutions', 'Forms partnerships across departments to streamline work processes and improve the speed at which the company can respond to and capitalize on opportunities', 'Integrates technology into employee workflows to increase the speed and accuracy of changes to improve the results of work processes, emphasizing continuous improvement', 'Completes monthly status reports and presents to clients and upper management', 'Manages the submission of project deliverables to Client, including project documentation, code, executables, or otherwise', 'Manages signoffs required from Client, including schedule, requirements, testing results, and/or others', 'Provides Client feedback to internal teams in a timely and accurate fashion, avoiding miscommunications and delays that threaten relationship with the Client or the healthy progress of the project', 'Manages user training or any other type of awareness sessions with the Client', 'Manages user acceptance testing with Client resources', 'Ensures resource allocation to the project is within budget', 'Works with internal teams and client representatives to ensure that the project team have access to all resources and data required to successfully complete project tasks on time', 'Works with commercial teams internally to invoice clients on time based upon project progress and achievement of payment milestones, attaining the required sign-offs from Clients for timely invoicing', 'Supports Product Owners, especially in regard to developing, refining, and managing the product backlog', 'Escalates issues in the implementation of Agile methodologies to expedite process correction, creating strategies that resonate with the culture of the organization', 'Preparing, coordinating and supervising systems implementation', 'Reports on the status of delivery using agreed reporting metrics e.g. burndown', 'Creates and maintains documentation']","['years of relevant experience in Agile development including solid practicing on agile methodologies', 'Bachelor’s Degree in Computer Science, Engineering, Information Systems or related fields', 'Strong knowledge of Scrum, Agile, Lean, and Project Management methodologies and frameworks', 'Expert level proficiency with common project management tools such as Jira, Confluence, Microsoft Teams and Microsoft Project and Trello', 'A high proficiency in verbal and written English', 'Experience in managing Agile projects and personal responsibility for delivering projects', 'Familiarity with software development methodologies', 'Familiarity with machine learning systems', 'Ability to foster an environment of collaboration and accountability', 'Effective and efficient written and verbal communication skills', 'Ability to multi-task and prioritize according to business/ clients’ needs', 'Effective stakeholder management and communication', 'Scrum master certification is a plus', 'PMP certification is a plus']"
39,Senior Full Stack Developer,Khalifa Foundation Investment,Cairo, Egypt,['Full Time'],Experienced,"['Designing, building, and maintaining Websites and Web-based applications UI & UX', 'Collaborate and work with mobile app developers on the backend needs of projects', 'Determining user needs by analyzing technical requirements', 'Write clean, secure, easily maintainable, and modular codes', 'Database designing and maintenance', 'Build reusable code and libraries for future use', 'Troubleshoot and debug applications', 'Perform backend tests to optimize performance', 'Design and develop Restful APIs', 'Solid knowledge and experience in React, TypeScript, HTML5, CSS3, Bootstrap', 'Solid experience with both RDBMS and NoSQL databases (MS SQL Server & MongoDB', 'Solid experience with C#.NET, ASP.NET MVC, .NET core & Microsoft Development Tools', 'Solid Experience in object-oriented programming & software design patterns']","['Fair knowledge of Phyton, AI, machine learning concepts is plus', 'Fair experience in Microsoft Azure, at least App Services and Azure Storage is plus', 'Fair knowledge of Azure DevOps, deploying and automating CI/CD pipelines across multiple environments is plus', 'Good knowledge of Docker or Kubernetes is a plus', 'Bachelor’s degree in computer science or computer engineering', 'Minimum 5 Years of proven work experience, preferably within a technology organization as both a hands-on architect and/or a software engineer', 'Excellent command of English language', 'Have a keep eye for quality and details', 'Very good analytical and creative problem-solving skills']"
40,Senior Full-Stack Software Engineer,RISEUP (Endemag for Administrative Skills Development,"Sheikh Zayed, Giza", Egypt,['Work From Home'],Experienced,"['Develop, test, document, and implement high performing solutions', 'Develop elegant, reusable components utilizing HTML, SCSS, and TypeScript', 'Write efficient, reusable, testable code', 'Participate in regular peer code reviews', 'Clearly and effectively communicate development processes, ideas, and solutions to team']","['years working with Angular, HTML, CSS, TypeScript, JavaScript', 'years of web application code design and architecture', ""Comfortable working with REST API's and JSON data"", ""Bachelor's degree in Engineering, Computer Science, or related technical field"", 'Ability to communicate effectively with both technical and non-technical individuals', 'Excellent oral and written communication skills', 'Detail-oriented with a demonstrated ability to deliver in scope and on time', 'Passion for creating efficient, scalable, highly usable web interfaces', 'Excited about technology, have a strong interest in learning about and playing with the latest technologies, and building compelling web applications and UI', 'Work well in teams, respecting and welcoming ideas from colleagues', 'Strong customer focus, ownership, urgency, and drive']"
41,Front End Angular Developer,RISEUP (Endemag for Administrative Skills Development,"Sheikh Zayed, Giza", Egypt,['Work From Home'],Experienced,"['Develop, test, document, and implement high performing solutions', 'Develop elegant, reusable components utilizing HTML, SCSS, and TypeScript', 'Write efficient, reusable, testable code', 'Participate in regular peer code reviews', 'Clearly and effectively communicate development processes, ideas, and solutions to team']","['Fluency in English', 'years working with Angular, HTML, CSS, TypeScript, JavaScript', 'years of web application code design and architecture', ""Comfortable working with REST API's and JSON data"", ""Bachelor's degree in Engineering, Computer Science, or related technical field"", 'Ability to communicate effectively with both technical and non-technical individuals', 'Excellent oral and written communication skills', 'Detail-oriented with a demonstrated ability to deliver in scope and on time', 'Passion for creating efficient, scalable, highly usable web interfaces', 'Excited about technology, have a strong interest in learning about and playing with the latest', 'technologies, and building compelling web applications and UI', 'Work well in teams, respecting and welcoming ideas from colleagues • Strong customer focus', 'ownership, urgency, and drive']"
